ID,Name,Designator,Footprint,Quantity
1,47uF,"C1,C2",CAP-TH_BD5.0-P2.00-D0.5-FD,2
2,100nF,"C3,C4",CAP-2.5*6.5*7.2,2
3,1uF,"C5,C7,C9",CAP-2.5*6.5*7.2,3
4,100uF,C6,CAP-TH_BD5.0-P2.00-D0.5-FD,1
5,5p6,C8,CAP-2.5*6.5*7.2,1
6,DC3-2.54-10PAS,CN1,CONN-TH_10P-P2.54_DC3-2.54-10PAS,1
7,1N5819,"D1,D2",DO41-7.6,2
8,Carrier,J1,PJ-301M_TIGHT2,1
9,Modulation,J2,PJ-301M_TIGHT2,1
10,OUT,J3,PJ-301M_TIGHT2,1
11,10,"R1,R2",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
12,2k7,"R3,R11,R14,R18",RES-TH_BD2.4-L6.3-P10.30-D0.6,4
13,6k8,"R4,R19,R20",RES-TH_BD2.4-L6.3-P10.30-D0.6,3
14,1k2,"R5,R6",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
15,100k,"R7,R8",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
16,1k,R9,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
17,180k,"R10,R17",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
18,1k5,"R12,R13",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
19,12k,"R15,R16",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
20,15k,"R21,R22,R23,R24",RES-TH_BD2.4-L6.3-P10.30-D0.6,4
21,10k,R25,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
22,62k,R26,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
23,240,R27,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
24,100kΩ,RV1,RES-TH_RK09K1130AAU,1
25,MTS102 TOGGLE SWITCH,SW1,MTS102,1
26,500,TR1,RES-ADJ-TH_3P_L9.6-W4.8-P2.50-L,1
27,200,TR2,RES-ADJ-TH_3P_L9.6-W4.8-P2.50-L,1
28,MC1496P,U2,DIP14,1
29,TL074,U1,PDIP-14_L19.6-W6.5-P2.54-LS7.9-BL,1
30,TL072,U3,PDIP-8_L9.6-W6.4-P2.54-LS7.9-BL,1
